,article_id,product_code,prod_name,product_type_no,product_type_name,product_group_name,graphical_appearance_no,graphical_appearance_name,colour_group_code,colour_group_name,perceived_colour_value_id,perceived_colour_value_name,perceived_colour_master_id,perceived_colour_master_name,department_no,department_name,index_code,index_name,index_group_no,index_group_name,section_no,section_name,garment_group_no,garment_group_name,detail_desc
87831,829922001,829922,H-band denim,74,Hair/alice band,Accessories,1010016,Solid,71,Light Blue,3,Light,2,Blue,4313,Girls Small Acc/Bags,J,"Children Accessories, Swimwear",4,Baby/Children,43,"Kids Accessories, Swimwear & D",1019,Accessories,Hairband woven in a cotton blend with a sewn-on bow on the front and covered elastic at the back.
12469,553873013,553873,Dragonfly,265,Dress,Garment Full body,1010001,All over pattern,10,White,3,Light,9,White,7616,Kids Girl Jersey Fancy,H,Children Sizes 92-140,4,Baby/Children,76,Kids Girl,1005,Jersey Fancy,Sleeveless dress in printed jersey with a seam at the waist and flared skirt.
60672,730454022,730454,Valter l/l pj SB TP,297,Pyjama set,Nightwear,1010017,Stripe,73,Dark Blue,4,Dark,2,Blue,4215,Kids Boy UW/NW,H,Children Sizes 92-140,4,Baby/Children,72,Boys Underwear & Basics,1017,"Under-, Nightwear",Pyjamas in soft cotton jersey. Long-sleeved top. Bottoms with an elasticated waist.
27305,619764009,619764,Marie 7-p. ankle sock,302,Socks,Socks & Tights,1010013,Other pattern,10,White,3,Light,9,White,7921,Kids Girl S&T,H,Children Sizes 92-140,4,Baby/Children,79,Girls Underwear & Basics,1021,Socks and Tights,Fine-knit socks in a soft cotton blend.
97894,876291003,876291,DUSTIN SET DEAL,270,Garment Set,Garment Full body,1010001,All over pattern,30,Other Orange,5,Bright,18,Red,7648,Kids Boy Jersey Fancy,H,Children Sizes 92-140,4,Baby/Children,46,Kids Boy,1005,Jersey Fancy,Set with a vest top and pair of shorts in soft cotton jersey with a print motif. Top with a ribbed trim around the neckline and armholes. Shorts with covered elastication and a drawstring at the waist.
82704,809575001,809575,Kendrick SP body,283,Underwear body,Underwear,1010016,Solid,42,Red,7,Medium,18,Red,1338,Expressive Lingerie,B,Lingeries/Tights,1,Ladieswear,61,Womens Lingerie,1017,"Under-, Nightwear","Body in mesh and lace with a super push-up bra. Underwired, thickly padded cups to maximise the bust and create a fuller cleavage. Adjustable shoulder straps and a hook-and-eye fastening at the back. Lined gusset with concealed press-studs and a high cut at the back."
67168,750028001,750028,Pack Checkers,82,Tie,Accessories,1010004,Check,73,Dark Blue,4,Dark,2,Blue,9986,Small Accessories,F,Menswear,3,Menswear,25,Men Accessories,1019,Accessories,Patterned bow tie with a matching handkerchief. Bow tie with an adjustable strap and fastening at the back. Width 11 cm. Size of handkerchief 33x33 cm.
2668,421941007,421941,Specter l/s tee,255,T-shirt,Garment Upper body,1010005,Colour blocking,10,White,3,Light,9,White,8558,Men Sport Tops,S,Sport,26,Sport,22,Men H&M Sport,1007,Outdoor,Sports top in fast-drying functional fabric with long raglan sleeves and a rounded hem. Slightly longer at the back. Regular fit.
85054,817827001,817827,GUMMAN set,270,Garment Set,Garment Full body,1010001,All over pattern,10,White,3,Light,9,White,6564,Newborn,G,Baby Sizes 50-98,4,Baby/Children,44,Baby Essentials & Complements,1005,Jersey Fancy,"Cardigan and a pair of trousers in soft organic cotton sweatshirt fabric. Patterned cardigan with press-studs down the front and long sleeves. Trousers with wide, foldover ribbing at the waist and ribbed hems."
25346,612455002,612455,Slim 5pkt Midprice 1,272,Trousers,Garment Lower body,1010023,Denim,6,Light Grey,1,Dusty Light,12,Grey,5672,Denim trousers,F,Menswear,3,Menswear,56,Denim Men,1016,Trousers Denim,5-pocket jeans in washed stretch denim with a zip fly and button and slim legs.
19901,586051003,586051,THORN crewneck,252,Sweater,Garment Upper body,1010016,Solid,9,Black,4,Dark,5,Black,7520,Knitwear,F,Menswear,3,Menswear,28,Men Edition,1003,Knitwear,"Jumper in a chunky, rib-knit cotton blend containing some wool in a relaxed fit with long sleeves and ribbing around the neckline, cuffs and hem."
85748,820899001,820899,Jax Padded Softbra (Anzio) 2pk,306,Bra,Underwear,1010010,Melange,6,Light Grey,1,Dusty Light,12,Grey,1334,Casual Lingerie,B,Lingeries/Tights,1,Ladieswear,61,Womens Lingerie,1017,"Under-, Nightwear","Non-wired bras in jersey with a wide, elasticated hem, adjustable shoulder straps and removable inserts that shape the bust and provide good support. No fasteners."
37376,653409002,653409,Blunder coat,263,Coat,Garment Upper body,1010016,Solid,19,Greenish Khaki,4,Dark,20,Khaki green,1241,Outwear & Blazers,A,Ladieswear,1,Ladieswear,18,Womens Trend,1008,Dressed,"Wide, double-breasted coat in soft wool with wide notch lapels, dropped shoulders, flap front pockets and adjustable tabs with a button at the cuffs. Lined."
53770,705732003,705732,East HW tapered,272,Trousers,Garment Lower body,1010016,Solid,19,Greenish Khaki,4,Dark,20,Khaki green,1722,Trouser,A,Ladieswear,1,Ladieswear,15,Womens Everyday Collection,1009,Trousers,"Ankle-length trousers in woven fabric with a high waist, sewn-on tie belt, elastication at the back and pleats at the top. Side pockets, fake welt back pockets and tapered legs with creases."
100712,891992003,891992,TUNIS 2-P l/s tee,255,T-shirt,Garment Upper body,1010016,Solid,51,Light Pink,1,Dusty Light,4,Pink,7930,Young Girl Jersey Basic,I,Children Sizes 134-170,4,Baby/Children,79,Girls Underwear & Basics,1002,Jersey Basic,"Long-sleeved tops in soft, organic cotton jersey with a rounded hem and short slits in the sides. Slightly longer at the back."
85548,820245001,820245,KIDS-Karel Knitted Jumper,252,Sweater,Garment Upper body,1010016,Solid,12,Light Beige,1,Dusty Light,9,White,7848,Boys Local Relevance,H,Children Sizes 92-140,4,Baby/Children,48,Kids Local Relevance,1023,Special Offers,"KIDS EXCLUSIVE. Jumper in soft, cable-knit organic cotton with long raglan sleeves and ribbing around the neckline, cuffs and hem."
45928,684947001,684947,Britt top,253,Vest top,Garment Upper body,1010016,Solid,9,Black,4,Dark,5,Black,1648,Knitwear,A,Ladieswear,1,Ladieswear,18,Womens Trend,1003,Knitwear,Sleeveless top in a rib-knit nylon blend.
84282,815092013,815092,REMEY HOOD,308,Hoodie,Garment Upper body,1010016,Solid,7,Grey,2,Medium Dusty,12,Grey,5833,Heavy Basic Jersey,F,Menswear,3,Menswear,26,Men Underwear,1002,Jersey Basic,"Top in cotton sweatshirt fabric with a lined drawstring hood with a wrapover front. Long sleeves, a kangaroo pocket and ribbing at the cuffs and hem."
48929,693571003,693571,Colleen 5pkt  trouser,272,Trousers,Garment Lower body,1010018,Treatment,9,Black,4,Dark,5,Black,8717,Young Girl Trouser,I,Children Sizes 134-170,4,Baby/Children,77,Young Girl,1009,Trousers,"Slim-fit trousers in soft, stretch twill with a zip fly and button, a coin pocket, side pockets, back pockets and narrow hems."
30754,629806002,629806,Jonas 2-p shorts SB,286,Underwear bottom,Underwear,1010001,All over pattern,73,Dark Blue,4,Dark,2,Blue,4215,Kids Boy UW/NW,H,Children Sizes 92-140,4,Baby/Children,72,Boys Underwear & Basics,1017,"Under-, Nightwear",Pyjama shorts in soft cotton jersey with an elasticated drawstring waist and side pockets. One patterned pair.
36398,650664001,650664,OL GRACE PQ Sandalette,92,Heeled sandals,Shoes,1010016,Solid,9,Black,4,Dark,5,Black,3040,Premium Quality,C,Ladies Accessories,1,Ladieswear,64,Womens Shoes,1020,Shoes,"Sandals with a wraparound ankle strap with an adjustable fastener, and covered block heels. Leather insoles and rubber soles. Heel 6.5 cm."
68566,754631001,754631,ED Kanta slaks Petite,272,Trousers,Garment Lower body,1010016,Solid,9,Black,4,Dark,5,Black,1939,Woven bottoms,A,Ladieswear,1,Ladieswear,2,H&M+,1009,Trousers,"Tailored trousers in a stretch weave made from a cotton blend with a concealed zip in one side and fake back pocket. Straight-cut legs that taper to the hem with creases, and short slits at the hems."
26530,617303001,617303,Able WCT pants,272,Trousers,Garment Lower body,1010016,Solid,9,Black,4,Dark,5,Black,8748,Young Boy Jersey Fancy,I,Children Sizes 134-170,4,Baby/Children,47,Young Boy,1005,Jersey Fancy,"Joggers with an elasticated drawstring waist, side pockets and contrasting colour stripes down legs."
23321,604347002,604347,Dalida,275,Skirt,Garment Lower body,1010001,All over pattern,9,Black,4,Dark,5,Black,1422,Skirt,A,Ladieswear,1,Ladieswear,15,Womens Everyday Collection,1012,Skirts,Short skirt in woven fabric with large flounces at the front and hem and a concealed zip at the back. Lined.
103359,911150001,911150,Flirty Linda earring,70,Earring,Accessories,1010016,Solid,52,Pink,5,Bright,4,Pink,4345,Jewellery Extended,C,Ladies Accessories,1,Ladieswear,66,Womens Small accessories,1019,Accessories,A pair of hoop earrings decorated with long pendants featuring faceted plastic beads and pearly plastic beads.
51998,700126004,700126,SB Basic Shorts (1),274,Shorts,Garment Lower body,1010016,Solid,9,Black,4,Dark,5,Black,6281,Bottoms Girls,S,Sport,26,Sport,49,Kids Sports,1001,Unknown,Knee-length sports shorts in fast-drying mesh with an elasticated drawstring waist. Unlined.
101111,894457001,894457,MC Panamera,254,Top,Garment Upper body,1010016,Solid,52,Pink,1,Dusty Light,4,Pink,1919,Jersey,A,Ladieswear,1,Ladieswear,2,H&M+,1005,Jersey Fancy,"Top in jersey crêpe with butterfly sleeves, a round neckline and a small opening with a button at the front. Double-layered yoke with gathers at the shoulders and back."
412,237347040,237347,Theron,308,Hoodie,Garment Upper body,1010010,Melange,71,Light Blue,3,Light,2,Blue,1676,Jersey Basic,A,Ladieswear,1,Ladieswear,16,Womens Everyday Basics,1002,Jersey Basic,"Jacket in sweatshirt fabric with a lined drawstring hood, zip down the front, side pockets and ribbing at the cuffs and hem."
12354,552852001,552852,SALT Regular tee (1),255,T-shirt,Garment Upper body,1010016,Solid,10,White,3,Light,9,White,7520,Knitwear,F,Menswear,3,Menswear,28,Men Edition,1003,Knitwear,Straight-cut T-shirt in soft jersey made from pima cotton containing some silk in a relaxed style with short slits in the sides.
16047,568689001,568689,Alex hightop BB,94,Sneakers,Shoes,1010016,Solid,19,Greenish Khaki,4,Dark,20,Khaki green,4221,Young Boy Shoes,J,"Children Accessories, Swimwear",4,Baby/Children,42,Kids & Baby Shoes,1020,Shoes,"Cotton canvas hi-tops with a padded edge, hook and loop tab and elasticated lacing. Canvas linings and insoles and rubber soles."
52426,701159003,701159,Princeton SS shirt,259,Shirt,Garment Upper body,1010016,Solid,82,Turquoise,3,Light,7,Turquoise,7657,Kids Boy Shirt,H,Children Sizes 92-140,4,Baby/Children,46,Kids Boy,1011,Shirts,"Short-sleeved shirt in soft, washed cotton with a collar, small embroidery detail on the chest, yoke at the back and a rounded hem. Contrasting colour on the inside of the collar stand."
26435,617072001,617072,JENNY earmuff,75,Hat/beanie,Accessories,1010016,Solid,51,Light Pink,7,Medium,4,Pink,4322,Young Girl Big Acc,J,"Children Accessories, Swimwear",4,Baby/Children,45,Kids Outerwear,1019,Accessories,Earmuffs in faux fur with an imitation leather headband.
59408,723382001,723382,Johnny OH hood L/S,254,Top,Garment Upper body,1010016,Solid,9,Black,4,Dark,5,Black,8768,Young Boy Jersey Basic,I,Children Sizes 134-170,4,Baby/Children,72,Boys Underwear & Basics,1002,Jersey Basic,"Top in soft organic cotton jersey with an unlined hood with a wrapover front, long sleeves with ribbed cuffs, and a rounded hem."
57581,717315002,717315,Beanie Goran,75,Hat/beanie,Accessories,1010010,Melange,6,Light Grey,1,Dusty Light,-1,Unknown,9985,Accessories,F,Menswear,3,Menswear,25,Men Accessories,1019,Accessories,Double-layered hat in a rib-knit wool blend. Turn-up at the hem with a small fabric appliqué.
60786,730857013,730857,PEBBLE knitted crewneck 1,252,Sweater,Garment Upper body,1010010,Melange,17,Yellowish Brown,2,Medium Dusty,13,Brown,5831,Knitwear,F,Menswear,3,Menswear,23,Men Suits & Tailoring,1003,Knitwear,"Long-sleeved jumper in soft, fine-knit cashmere with ribbing around the neckline, cuffs and hem."
1084,316441034,316441,Lee (1),254,Top,Garment Upper body,1010010,Melange,13,Beige,2,Medium Dusty,1,Mole,1676,Jersey Basic,A,Ladieswear,1,Ladieswear,16,Womens Everyday Basics,1002,Jersey Basic,Long-sleeved top in soft jersey.
27657,620424028,620424,FREJA,255,T-shirt,Garment Upper body,1010001,All over pattern,51,Light Pink,3,Light,4,Pink,7920,Kids Girl Jersey Basic,H,Children Sizes 92-140,4,Baby/Children,79,Girls Underwear & Basics,1002,Jersey Basic,Long-sleeved tops in organic cotton jersey.
26360,616974003,616974,JOJJO beanie LATE,75,Hat/beanie,Accessories,1010016,Solid,73,Dark Blue,4,Dark,2,Blue,4312,Kids Girl Big Acc,J,"Children Accessories, Swimwear",4,Baby/Children,45,Kids Outerwear,1019,Accessories,Hat in a soft fine knit with a pattern and a ribbed hem.
22424,598604003,598604,Timothy Hood PJ set,297,Pyjama set,Nightwear,1010016,Solid,9,Black,4,Dark,5,Black,9989,Loungewear,F,Menswear,3,Menswear,26,Men Underwear,1017,"Under-, Nightwear","Pyjamas in soft cotton jersey. Long-sleeved top with a hood. Bottoms with an elasticated drawstring waist, side pockets and ribbed hems."
89429,838197001,838197,AW Mahmud tank,253,Vest top,Garment Upper body,1010016,Solid,9,Black,4,Dark,5,Black,1643,Basic 1,D,Divided,2,Divided,51,Divided Basics,1002,Jersey Basic,"Fully lined, cropped vest top in sturdy jersey with visible seams. Racer back with a cut-out section, and wide elastication at the hem."
26129,616049002,616049,Gaetana 2p headband,74,Hair/alice band,Accessories,1010001,All over pattern,9,Black,4,Dark,5,Black,4343,Hair Accessories,C,Ladies Accessories,1,Ladieswear,66,Womens Small accessories,1019,Accessories,"Hair scarves in an airy, patterned weave that can be tied around the head or neck. Size 11x110 cm."
41927,670707001,670707,Selena kick flare,272,Trousers,Garment Lower body,1010016,Solid,9,Black,4,Dark,5,Black,1747,Trousers,D,Divided,2,Divided,53,Divided Collection,1009,Trousers,"Slim-fit, ankle-length trousers in a stretch weave with a slight sheen. Zip in the side and straight legs that flare at the hem."
4829,487206009,487206,Jonas 2-p tights SB,304,Underwear Tights,Socks & Tights,1010012,Mixed solid/pattern,8,Dark Grey,4,Dark,12,Grey,4214,Kids Boy Socks,H,Children Sizes 92-140,4,Baby/Children,72,Boys Underwear & Basics,1021,Socks and Tights,Fine-knit tights in a soft cotton blend with an elasticated waist.
33917,640131007,640131,Cusco Embroided Sweater,252,Sweater,Garment Upper body,1010007,Embroidery,19,Greenish Khaki,1,Dusty Light,20,Khaki green,1647,Tops Knitwear,D,Divided,2,Divided,53,Divided Collection,1003,Knitwear,"Jumper in a soft, fine-knit cotton blend with dropped shoulders, long, embroidered sleeves, and ribbing around the neckline, cuffs and hem."
31658,632982036,632982,Jennifer tee,254,Top,Garment Upper body,1010008,Front print,10,White,3,Light,9,White,1636,Jersey fancy,A,Ladieswear,1,Ladieswear,15,Womens Everyday Collection,1005,Jersey Fancy,"Short-sleeved, round-necked T-shirt in jersey made from a cotton blend."
49672,695166007,695166,Cool Edith 2p headband,74,Hair/alice band,Accessories,1010001,All over pattern,33,Dark Orange,5,Bright,3,Orange,4343,Hair Accessories,C,Ladies Accessories,1,Ladieswear,66,Womens Small accessories,1019,Accessories,Hairbands in an airy weave. Can be worn around the head or a ponytail.
76753,786245002,786245,Sabrina,252,Sweater,Garment Upper body,1010010,Melange,7,Grey,1,Dusty Light,12,Grey,1676,Jersey Basic,A,Ladieswear,1,Ladieswear,16,Womens Everyday Basics,1002,Jersey Basic,"Long-sleeved top in sweatshirt fabric made from a cotton blend with ribbing around the neckline, cuffs and hem. Soft brushed inside."
45365,683001026,683001,Pattern 7p Socks,302,Socks,Socks & Tights,1010001,All over pattern,52,Pink,7,Medium,4,Pink,3611,Shopbasket Socks,B,Lingeries/Tights,1,Ladieswear,62,"Womens Nightwear, Socks & Tigh",1021,Socks and Tights,Fine-knit socks in a soft cotton blend.
11129,545855001,545855,Serafina top,254,Top,Garment Upper body,1010016,Solid,10,White,3,Light,9,White,1641,Jersey,A,Ladieswear,1,Ladieswear,18,Womens Trend,1005,Jersey Fancy,"Fitted, off-the-shoulder top in sturdy jersey with a denim feel. Wide flounce at the top and a concealed zip in one side."
34204,640777005,640777,HUNTER vest,261,Outdoor Waistcoat,Garment Upper body,1010016,Solid,63,Dark Purple,4,Dark,6,Lilac Purple,8812,Young Girl Outdoor,I,Children Sizes 134-170,4,Baby/Children,45,Kids Outerwear,1007,Outdoor,"Padded gilet with a detachable, faux-fur trimmed hood, stand-up collar, zip down the front and side pockets. Slightly longer and rounded at the back."
80818,803522002,803522,Lina heel,230,Heels,Shoes,1010016,Solid,20,Other Yellow,5,Bright,8,Yellow,3528,Heels,C,Ladies Accessories,1,Ladieswear,64,Womens Shoes,1020,Shoes,"Platform sandals with fabric straps, narrow elastication at the heels and covered soles. Platform front 1.5 cm. Covered heels 12 cm."
24746,610565002,610565,JUSSI SHORTS,274,Shorts,Garment Lower body,1010014,Placement print,7,Grey,1,Dusty Light,12,Grey,7648,Kids Boy Jersey Fancy,H,Children Sizes 92-140,4,Baby/Children,46,Kids Boy,1005,Jersey Fancy,"Shorts in lightweight, printed sweatshirt fabric with wide elastication and a drawstring at the waist, a back pocket and raw, roll-edge hems."
51874,699923016,699923,Mike tee,255,T-shirt,Garment Upper body,1010008,Front print,9,Black,4,Dark,5,Black,5848,Jersey Fancy,F,Menswear,3,Menswear,21,Contemporary Casual,1005,Jersey Fancy,"T-shirt in soft, printed cotton jersey."
51101,698264002,698264,Bag Kalle Trunk,66,Bag,Accessories,1010020,Contrast,8,Dark Grey,4,Dark,12,Grey,7388,Bags & Items,F,Menswear,3,Menswear,25,Men Accessories,1019,Accessories,"Weekend bag in canvas with imitation leather details. Two handles and a zip at the top, two outer compartments, one with a zip and one zipped inner compartment. Lined. Size approx. 14x45x37 cm."
17668,575343001,575343,Windy n-slip,293,Night gown,Nightwear,1010001,All over pattern,51,Light Pink,1,Dusty Light,4,Pink,3709,Nightwear,B,Lingeries/Tights,1,Ladieswear,62,"Womens Nightwear, Socks & Tigh",1017,"Under-, Nightwear",Nightslip in soft jersey with narrow adjustable shoulder straps and a lace detail at the back of the neck. Triangular lace cups with removable inserts and a lace trim under the bust.
3837,467302066,467302,Panda dress J,265,Dress,Garment Full body,1010001,All over pattern,42,Red,5,Bright,18,Red,1344,Dresses,D,Divided,2,Divided,53,Divided Collection,1013,Dresses Ladies,"Short, sleeveless dress in sturdy jersey with a deep neckline at the back, seam at the waist and flared skirt."
